Pagado,Fecha de Pago,Metodo de pago,Enviado/Entregado,%,# sin pagarse,Mes,Folio de Factura,Timestamp,Folio de factura / remision,Comentarios,Nombre Tienda,(A1-CC-01) Power Bites sabor Coffee & Chocolate,(A1-MC-01)Power Bites sabor Melted Cacao,(A2-PB-01) Barra: Peanut Butter Bomb,(A2-CF-01) Barra: Chocolate Fudge,(A2-CC-01) Barra: Coffee & chocolate,(A2-CB-01) Barra: Coconut Blueberry,(A2-MC-01) Barra: Manzana y Canela,(4-PACK) MINI SUMMIT BAR SABOR COCONUT BLUEBERRY,(4-PACK) MINI SUMMIT BAR SABOR MANZANA CANELA ,(4-PACK) MINI SUMMIT BAR SABOR PEANUT BUTTER ,Subtotal (antes de impuestos),Monto total de la vanta ,Pz vendidas,Fecha de Creacion de Pedido,Fecha de vencimiento,Tipo de Cliente,Días Crédito,,Días de crédito limpios,Fecha base MDY,,,,,,,
FALSE,,,TRUE,,114,1,,1/16/2026 15:51:00,MB1516,ML 2000011060769823 - Allan Javier Hernandez,Mercado Libre,0,0,0,0,0,0,0,4,4,4.00,$110.52,$119.36,12,,01/16/2026,Ecomerce,0,,0.00,1/16/2026,,,,,,,
TRUE,02/26/2026,Transferencia,TRUE,,1,1,,1/16/2026 16:03:00,MB1463,,Ameyali Rocodromo,5,5,10,10,10,10,0,0,0,0.00,"$1,418.20","$1,705.66",50,,02/15/2026,Minorista,30,,30.00,1/16/2026,,,,,,,
FALSE,,,TRUE,,13,1,,1/16/2026 16:27:00,MB1464,,Mas natural mas sano,0,0,70,10,40,70,50,0,0,0.00,"$5,071.97","$5,477.73",240,,03/02/2026,Distribuidores,45,,45.00,1/16/2026,,,,,,,
TRUE,03/30/2026,Transferencia,TRUE,,3,1,,1/18/2026 17:34:00,MB1465,,Super mayoreo naturista,0,0,120,40,0,40,0,0,0,0.00,"$5,112.90","$5,521.93",200,,03/04/2026,Conveniencia,45,,45.00,1/18/2026,,,,,,,
TRUE,03/30/2026,Transferencia,TRUE,,9,1,,1/18/2026 17:35:00,MB1466,,Promotora saludanat,60,0,0,160,0,0,0,0,0,0.00,"$5,757.00","$6,217.56",220,,03/04/2026,Conveniencia,45,,45.00,1/18/2026,,,,,,,
TRUE,03/30/2026,Transferencia,TRUE,,43,1,,1/19/2026 10:55:00,MB1033,FRESKO ESFERA,La Comer,0,0,20,20,10,20,10,0,0,0.00,"$2,153.20","$2,325.46",80,,03/20/2026,Supermercados,60,,60.00,1/19/2026,,,,2,$0.00,$0.00,$0.00
TRUE,03/30/2026,Transferencia,TRUE,,43,1,,1/19/2026 11:10:00,MB1034,,La Comer,0,0,20,20,10,10,10,0,0,0.00,"$1,884.05","$2,034.77",70,,03/20/2026,Supermercados,60,,60.00,1/19/2026,,,,,,,
FALSE,,,TRUE,,114,1,,1/19/2026 11:22:00,MB1517,ML 2000011115421535 - Daniela Carla Lopez Miranda,Mercado Libre,0,0,0,0,0,0,0,4,4,4.00,$110.52,$119.36,12,,01/19/2026,Ecomerce,0,,0.00,1/19/2026,,,,,,,
TRUE,06/02/2026,Transferencia,TRUE,,5,1,,1/19/2026 12:35:00,MB1467,GOMEZ MORIN,SUPER MODE,0,0,8,3,12,0,0,0,0,0.00,$534.94,$577.74,23,,03/05/2026,Supermercados,45,,45.00,1/19/2026,,,,,,,
TRUE,02/13/2026,Transferencia,TRUE,,5,1,,1/19/2026 12:36:00,MB1468,VASCONCELOS,SUPER MODE,0,0,7,4,0,6,0,0,0,0.00,$398.27,$430.13,17,,03/05/2026,Supermercados,45,,45.00,1/19/2026,,,,,,,
TRUE,01/20/2026,Transferencia,TRUE,,4,1,,1/19/2026 12:38:00,MB1469,WIX 10392 - Jorge Lanz Robledo | PayPal,www.mountainbites.mx,0,0,0,0,0,0,0,12,12,12.00,$759.00,$889.72,36,,02/03/2026,Ecomerce,15,,15.00,1/19/2026,,,,,,,
TRUE,,Sin pago,TRUE,,0,1,,1/19/2026 12:39:00,MB1518,Acuerdo primer pedido de minis,Rehiletes,0,0,0,0,0,0,0,12,12,12.00,$0.09,$0.10,36,,02/18/2026,Minorista,30,,30.00,1/19/2026,,,,,,,
FALSE,,,TRUE,,114,1,,1/19/2026 12:39:00,MB1519,ML 2000011118612001 - Mario Chavez,Mercado Libre,0,0,0,0,0,0,0,4,4,4.00,$110.52,$119.36,12,,01/19/2026,Ecomerce,0,,0.00,1/19/2026,,,,,,,
FALSE,,,TRUE,,114,1,,1/19/2026 12:43:00,MB1520,ML 2000011118726425 - Carla Judith Garza Gongora,Mercado Libre,0,0,0,0,0,0,0,4,4,4.00,$110.52,$119.36,12,,01/19/2026,Ecomerce,0,,0.00,1/19/2026,,,,,,,
TRUE,01/19/2026,Efectivo,TRUE,,0,1,,1/19/2026 12:45:00,MB1521,,MAHO CLINIC,15,0,0,0,0,0,0,0,0,0.00,$512.40,$553.39,15,,01/19/2026,Minorista,0,,0.00,1/19/2026,,,,,,,
FALSE,,,TRUE,,114,1,,1/19/2026 12:49:00,MB1522,ML 2000011118952817 - Daniel Calvillo La Garza,Mercado Libre,0,0,0,0,0,0,0,4,4,4.00,$110.52,$119.36,12,,01/19/2026,Ecomerce,0,,0.00,1/19/2026,,,,,,,
FALSE,,,TRUE,,114,1,,1/19/2026 14:35:00,MB1524,ML 2000011119230217 - Marcelo Gonzalez,Mercado Libre,0,0,20,0,0,0,0,0,0,0.00,$501.85,$542.00,20,,01/19/2026,Ecomerce,0,,0.00,1/19/2026,,,,,,,
FALSE,,,TRUE,,114,1,,1/20/2026 12:20:00,MB1525,ML 2000011134615579 - Alejandro Javier Dominguez Rivero,Mercado Libre,0,0,0,0,0,0,0,4,4,4.00,$110.52,$119.36,12,,01/20/2026,Ecomerce,0,,0.00,1/20/2026,,,,,,,
FALSE,,,TRUE,,114,1,,1/20/2026 12:21:00,MB1526,ML 2000011134646931 - Pablo Soto,Mercado Libre,0,0,0,0,0,0,0,12,0,0.00,$72.27,$78.05,12,,01/20/2026,Ecomerce,0,,0.00,1/20/2026,,,,,,,
TRUE,04/02/2026,Transferencia,TRUE,,0,1,,1/20/2026 12:21:00,MB1527,,Santuario Estudio,0,0,0,0,0,0,0,0,0,4.00,$68.00,$73.44,4,,01/20/2026,Minorista,0,,0.00,1/20/2026,,,,,,,
TRUE,03/18/2026,Transferencia,TRUE,,0,1,,1/20/2026 12:23:00,MB1470,,The Protein Lab,0,0,0,10,10,0,0,0,0,0.00,$600.00,$743.27,20,,02/19/2026,Minorista,30,,30.00,1/20/2026,,,,,,,
TRUE,04/13/2026,Transferencia,TRUE,,5,1,,1/22/2026 10:04:00,MB1471,,Super Roma,0,0,20,0,0,20,0,0,0,0.00,"$1,032.30","$1,114.88",40,,02/21/2026,Minorista,30,,30.00,1/22/2026,,,,,,,
TRUE,06/04/2026,Transferencia,TRUE,,5,1,,1/22/2026 10:05:00,MB1472,Super Roma Herradura,Super Roma,0,0,0,0,0,0,0,60,60,60.00,"$2,276.64","$2,458.77",180,,02/21/2026,Minorista,30,,30.00,1/22/2026,,,,,,,
TRUE,02/18/2026,Transferencia,TRUE,,0,1,,1/22/2026 15:37:00,MB1473,,Mood Coffee,0,0,20,10,10,20,20,4,4,4.00,"$2,156.20","$2,328.70",92,,02/21/2026,Minorista,30,,30.00,1/22/2026,,,,,,,
TRUE,02/27/2026,Transferencia,TRUE,,0,1,,1/22/2026 15:38:00,MB1474,,Deporte Habitat,0,0,20,20,20,20,20,0,0,0.00,"$2,691.50","$3,080.82",100,,02/21/2026,Minorista,30,,30.00,1/22/2026,,,,,,,
TRUE,02/24/2026,Transferencia,TRUE,,1,1,,1/22/2026 15:41:00,MB1475,,Azend Studio,0,0,10,20,10,0,0,0,0,0.00,"$1,076.60","$1,336.73",40,,02/21/2026,Minorista,30,,30.00,1/22/2026,,,,,,,
FALSE,,,TRUE,,114,1,,1/23/2026 16:24:00,MB1528,ML 2000011134646933 - Pablo Soto,Mercado Libre,0,0,0,0,0,0,0,0,12,12.00,$144.46,$156.02,24,,01/23/2026,Ecomerce,0,,0.00,1/23/2026,,,,,,,
TRUE,04/17/2026,Transferencia,TRUE,,1,1,,1/23/2026 16:25:00,MB1476,,Tiendas Tres B,0,0,40,0,0,120,0,0,0,0.00,"$4,111.11","$4,440.00",160,,02/22/2026,Supermercados,30,,30.00,1/23/2026,,,,,,,
FALSE,,,TRUE,,13,1,,1/23/2026 16:28:00,MB1477,MANDAR ALGUNAS CAJAS DE LOS 5 SABORES DE REPUESTO Y EXHIBIDORES,Mas natural mas sano,0,0,30,60,50,70,20,0,0,0.00,"$4,860.66","$5,249.51",230,,03/09/2026,Distribuidores,45,,45.00,1/23/2026,,,,,,,
TRUE,01/27/2026,Transferencia,TRUE,,4,1,,1/23/2026 16:30:00,MB1478,WIX 10393 - Alejandro Rico | Credit/Debit Cards,www.mountainbites.mx,0,0,10,10,10,10,10,0,0,0.00,"$1,318.70","$1,487.50",50,,02/07/2026,Ecomerce,15,,15.00,1/23/2026,,,,,,,
TRUE,01/30/2026,Transferencia,TRUE,,0,1,,1/23/2026 16:37:00,MB1479,,NOMADA CAFE ,0,0,20,20,20,20,20,0,0,0.00,"$2,691.50","$3,080.82",100,,02/22/2026,Minorista,30,,30.00,1/23/2026,,,,,,,
TRUE,01/27/2026,Transferencia,TRUE,,1,1,,1/23/2026 16:38:00,MB1480,,Oh My Goat,0,0,10,10,10,10,10,8,8,0.00,"$1,753.75","$2,068.05",66,,02/22/2026,Minorista,30,,30.00,1/23/2026,,,,,,,
TRUE,01/29/2026,Transferencia,TRUE,,1,1,,1/23/2026 16:39:00,MB1481,ADAMANTA SATELITE,Adamanta Satélite,40,40,40,40,40,40,40,0,0,0.00,"$8,115.80","$8,939.06",280,,02/22/2026,Minorista,30,,30.00,1/23/2026,,,,,,,
TRUE,01/30/2026,Transferencia,TRUE,,0,1,,1/26/2026 12:27:00,MB1482,Vertrimania San Agustín,Vertimania Plaza Fiesta,10,10,30,30,30,20,30,0,0,0.00,"$4,451.30","$4,807.40",160,,02/25/2026,Minorista,30,,30.00,1/26/2026,,,,,,,
TRUE,06/04/2026,Transferencia,TRUE,,9,1,,1/26/2026 12:28:00,MB1483,,Promotora saludanat,0,30,0,0,0,80,0,0,0,0.00,"$2,878.50","$3,108.78",110,,03/12/2026,Conveniencia,45,,45.00,1/26/2026,,,,,,,
FALSE,,,TRUE,,114,1,,1/27/2026 18:55:00,MB1529,ML 2000011247161823 - Evelyne Jeronimo | Envío con Full,Mercado Libre,0,0,0,0,0,0,0,0,4,0.00,$72.41,$78.20,4,,01/27/2026,Ecomerce,0,,0.00,1/27/2026,,,,,,,
FALSE,,,TRUE,,114,1,,1/27/2026 18:56:00,MB1530,ML 2000011239199213 - Jose Solis | Envío con Full,Mercado Libre,0,0,0,0,0,0,0,0,8,0.00,$144.82,$156.41,8,,01/27/2026,Ecomerce,0,,0.00,1/27/2026,,,,,,,
FALSE,,,TRUE,,114,1,,1/27/2026 19:00:00,MB1531,ML 2000011230058173 - Alexia Avila,Mercado Libre,0,0,0,0,0,0,0,12,0,8.00,$362.06,$391.02,20,,01/27/2026,Ecomerce,0,,0.00,1/27/2026,,,,,,,
FALSE,,,TRUE,,114,1,,1/27/2026 19:00:00,MB1532,ML 2000011229978817 - Maria Del Mar Garcia Hernandez,Mercado Libre,0,0,0,0,0,0,0,8,8,8.00,$395.98,$427.66,24,,01/27/2026,Ecomerce,0,,0.00,1/27/2026,,,,,,,
FALSE,,,TRUE,,114,1,,1/27/2026 19:01:00,MB1533,ML 2000011229891335,Mercado Libre,0,0,0,0,0,0,0,0,20,0.00,$362.06,$391.02,20,,01/27/2026,Ecomerce,0,,0.00,1/27/2026,,,,,,,
